Type,Value,Organization,Rating,Confidence,DateAdded,LastModified,Description,Source,DNS,Whois,Observations,Date Last Observed,False Positives,Date FP Last Reported,Tags
Address,91.198.22.70,Technical Blogs and Reports,4,74,01-31-2017,12-04-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,462,12-05-2017,1,09-25-2017,"BLOG: Talos";"Threat Roundup";"threat";"Malware";"Talos";"Coverage";"Zscaler";"Umbrella";"Snort";"ClamAV";"AMP";"Exploit Kit";"ThreatGrid";"BLOG: Zscaler"
Address,216.146.43.70,Technical Blogs and Reports,4,74,01-31-2017,12-04-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,1017,11-29-2017,1,08-06-2017,"BLOG: Talos";"Threat Roundup";"threat";"Malware";"Malware Traffic Analysis";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"ThreatGrid";"IOCs";"Informational";"ZeuS";"BLOG: Malware Breakdown";"ZLoader";"Roboto Condensed";"Zbot";"DELoader";"Terdot"
Address,192.255.255.255,Technical Blogs and Reports,3,39,03-25-2017,12-04-2017,"This indicator appears in an article/alert from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/mioJKxJ5Fjc/threat-roundup-0320-0324.html",,,0,,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"ThreatGrid";"Threat Roundup"
Address,216.146.38.70,Technical Blogs and Reports,4,84,03-18-2017,12-04-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,952,11-29-2017,0,,"BLOG: Talos";"Threat Roundup";"threat";"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"ThreatGrid";"Malware Research";"BroadAnalysis";"IOC's";"malspam";"Hancitor";"Malicious Word Document";"Albany NY"
Address,185.39.5.8,Technical Blogs and Reports,3,39,03-25-2017,12-04-2017,"This indicator appears in an article/alert from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/mioJKxJ5Fjc/threat-roundup-0320-0324.html",,,0,,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"ThreatGrid";"Threat Roundup"
Address,213.184.116.31,Technical Blogs and Reports,3,39,03-25-2017,12-04-2017,"This indicator appears in an article/alert from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/mioJKxJ5Fjc/threat-roundup-0320-0324.html",,,0,,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"ThreatGrid";"Threat Roundup"
Address,93.188.162.213,Technical Blogs and Reports,3,39,03-25-2017,12-04-2017,"This indicator appears in an article/alert from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/mioJKxJ5Fjc/threat-roundup-0320-0324.html",,,0,,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"ThreatGrid";"Threat Roundup"
Address,198.54.115.45,Technical Blogs and Reports,3,39,03-25-2017,12-04-2017,"This indicator appears in an article/alert from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/mioJKxJ5Fjc/threat-roundup-0320-0324.html",,,98,07-25-2017,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"ThreatGrid";"Threat Roundup"
Address,148.251.33.195,Technical Blogs and Reports,3,89,11-18-2017,12-01-2017,"This indicator appears in a post from PhishMe.","https://phishme.com/careful-trust-impersonation-emails-deliver-geodo-malware/",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat";"BLOG: PhishMe";"Phishing Defense Center";"malware analysis"
Address,78.47.56.164,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.142.210,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,66018,12-05-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.120.226,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,36,12-01-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.169.146,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,1107,12-05-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.113.162,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,1401,12-04-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,78.47.56.190,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.120.66,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,13638,12-05-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.85.34,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,6221,12-05-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.145.146,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,1686,12-05-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.24.2,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,103.247.96.21,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.49.18,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,995,12-04-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,213.192.1.170,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,195.16.207.211,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,77.220.64.49,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,185.94.252.102,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,95.163.86.154,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,216.146.43.71,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,164,11-28-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,40.97.170.2,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,834,12-04-2017,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,77.220.64.57,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,5.63.14.41,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,45.73.17.164,Technical Blogs and Reports,4,95,11-18-2017,11-18-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/-vFGLlGpB1U/threat-round-up-1110-1117.html",,,0,,0,,"BLOG: Talos";"Malware";"Threat Roundup";"threat"
Address,185.35.228.6,Technical Blogs and Reports,4,95,10-14-2017,10-14-2017,"This indicator appears in a post from Talos.","http://feedproxy.google.com/~r/feedburner/Talos/~3/VTCdkuQIBTc/threat-round-up-1006-1013.html",,,0,,0,,"Coverage";"Umbrella";"Snort";"ClamAV";"BLOG: Talos";"Threat Roundup"
