Type,Value,Rating,Confidence,DateAdded,LastModified,Description,DNS,Observations,Date Last Observed,Tags
Address,64.95.32.20,4,40,06-23-2017,12-05-2017,"This indicator appears in a post from Talos.",,379055,12-05-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,52.27.10.213,4,27,06-23-2017,12-05-2017,"This indicator appears in a post from Talos.",,110377,11-16-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,216.239.36.21,4,89,09-16-2017,12-05-2017,"This indicator appears in a post from Talos.",,108835,12-05-2017,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,216.239.38.21,4,89,09-16-2017,12-05-2017,"This indicator appears in a post from Talos.",,102727,12-05-2017,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,216.239.34.21,4,89,07-18-2017,12-05-2017,"This indicator appears in a post from Talos.",,103413,12-05-2017,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"Exploit Kit";"BLOG: Talos";"Rig Exploit Kit";"Malware Breakdown";"Malvertising";"IOCs";"Dreambot";"HookAds"
Address,78.47.139.102,4,74,01-31-2017,12-04-2017,"This indicator appears in a post from Talos.",,646,11-29-2017,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"Inside Your Botnet";"WisdomEyes"
Address,86.59.21.38,3,54,01-31-2017,12-04-2017,"This indicator appears in a post from Cysinfo.",,12,08-04-2017,"BLOG: Cysinfo";"Articles";"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"Rig Exploit Kit";"Malware Research";"Exploit Kits";"Indicator's of Compromise";"Pcap File";"BroadAnalysis";"Dreambot";"Inside Your Botnet";"Banking Malware";"EITest";"tor"
Address,146.255.36.1,4,74,01-31-2017,12-04-2017,"This indicator appears in a post from Talos.",,74,11-28-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"Inside Your Botnet";"WisdomEyes"
Address,151.80.42.103,3,64,03-18-2017,12-04-2017,"This indicator appears in a post from Cysinfo.",,8,11-17-2017,"BLOG: Cysinfo";"Articles";"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"Rig Exploit Kit";"ThreatGrid";"Malware Research";"Exploit Kits";"Indicator's of Compromise";"Pcap File";"BroadAnalysis";"Dreambot";"Banking Malware";"EITest"
Address,148.81.111.121,4,84,03-11-2017,12-04-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"ThreatGrid";"threat"
Address,144.76.163.93,3,75,09-07-2017,11-21-2017,"This indicator appears in a post from Cysinfo.",,9,11-02-2017,"BLOG: Cysinfo";"Articles";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,82.195.75.101,3,75,05-27-2017,11-21-2017,"This indicator appears in a post from Cysinfo.",,0,,"BLOG: Cysinfo";"Articles";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"threats"
Address,104.18.48.20,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,126,11-20-2017,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,104.18.49.20,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,28,11-27-2017,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,104.27.163.68,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,104.27.162.68,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,6,11-27-2017,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,185.182.56.160,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,185.80.54.18,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,81.169.145.76,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,216.218.185.162,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,194.88.246.9,4,95,10-28-2017,10-28-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"AMP";"Threat Round-up";"BLOG: Talos";"Snort Rules"
Address,174.129.241.106,4,95,09-07-2017,10-14-2017,"This indicator appears in a post from Talos.",,78191,12-05-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"Threat Roundup"
Address,23.23.170.235,4,95,09-07-2017,10-14-2017,"This indicator appears in a post from Talos.",,1962,11-17-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"Threat Roundup"
Address,184.73.220.206,4,95,08-08-2017,10-14-2017,"This indicator appears in a post from Talos.",,83256,12-05-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"malware analysis";"Malware Research";"Indicator's of Compromise";"Threat Roundup";"Pcap File";"BroadAnalysis";"IOC's";"malspam";"Hancitor";"Malicious Word Document"
Address,52.179.17.38,4,95,09-30-2017,10-14-2017,"This indicator appears in a post from Talos.",,9747,12-04-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"Threat Roundup"
Address,66.55.90.17,4,95,09-30-2017,09-30-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,156.203.64.64,4,95,09-30-2017,09-30-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,216.126.225.148,4,95,09-20-2017,09-30-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,41.45.138.91,4,95,09-30-2017,09-30-2017,"This indicator appears in a post from Talos.",,0,,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,50.63.119.1,4,95,09-30-2017,09-30-2017,"This indicator appears in a post from Talos.",,76,12-01-2017,"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,186.103.161.204,3,85,06-15-2017,09-23-2017,"This indicator appears in a post from Vitali Kremez.",,0,,"Malware";"Malware Traffic Analysis";"Spam";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"Threat Round-up";"Viruses";"Russia";"Dynamoo";"reverse engineering";"Germany";"Cyber Security";"BLOG: Vitali Kremez";"DOC";"Chile"
Address,93.171.217.7,3,85,09-16-2017,09-23-2017,"This indicator appears in a post from Vitali Kremez.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"reverse engineering";"BLOG: Vitali Kremez"
Address,104.254.150.79,4,49,06-23-2017,09-22-2017,"This indicator appears in a post from Talos.",,510606,08-31-2017,"Talos";"Coverage";"Umbrella";"Snort";"AMP";"Threat Round-up"
Address,88.150.140.232,3,95,09-16-2017,09-20-2017,"This indicator appears in a post from Malware Traffic Analysis.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Malware Traffic Analysis";"BLOG: Talos"
Address,12.242.40.8,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,216.58.217.68,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,2118,12-05-2017,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
Address,52.173.193.166,4,95,05-10-2017,09-16-2017,"This indicator appears in a post from Talos.",,4947,11-03-2017,"Malware";"Malware Traffic Analysis";"Talos";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos";"threats"
Address,5.133.179.13,4,95,09-16-2017,09-16-2017,"This indicator appears in a post from Talos.",,0,,"Malware";"Coverage";"Umbrella";"Snort";"ClamAV";"AMP";"Threat Round-up";"BLOG: Talos"
